,model_number,Timestamp,Latitude,Longitude,Voltage,Current,State Of Charge,BM_MaxCellVolt,BM_MaxCellID,BM_MinCellVolt,Frame_numberV,BM_MinCellID,Max_monomer_temperature,Min_monomer_temperature,Charging_MOS_tube_status,Discharge_MOS_tube_status,Capacity(Ah),Charge_Discharge_cycles,isflag,date,charging_time_diff_min,zone
157787,it_350317170589794,15-06-24 08:38,19.1786599,72.8579966,48.9,7.1,63.5,2.226,1,2.213,0.013,22,33,31,1,1,23495,118,0,15-06-24,0.85,5
157792,it_350317170589794,15-06-24 08:38,19.1773199,72.8566083,48.8,5.2,62.5,2.224,1,2.211,0.013,22,33,31,1,1,23125,118,0,15-06-24,0.833333333,5
157795,it_350317170589794,15-06-24 08:39,19.1753516,72.858415,48.9,9.9,62.5,2.233,1,2.215,0.018,22,33,31,1,1,23125,118,0,15-06-24,1.1,5
157797,it_350317170589794,15-06-24 08:40,19.174575,72.8578933,48.7,7.3,62.4,2.235,1,2.214,0.021,22,33,31,1,1,23088,118,0,15-06-24,0.333333333,5
157798,it_350317170589794,15-06-24 08:40,19.1744083,72.8573766,48.8,5,62.3,2.228,1,2.211,0.017,22,33,31,1,1,23051,118,0,15-06-24,0.166666667,5
157799,it_350317170589794,15-06-24 08:40,19.1740699,72.8571733,48.7,6.8,62.2,2.224,1,2.209,0.015,22,33,31,1,1,23014,118,0,15-06-24,0.166666667,5
157800,it_350317170589794,15-06-24 08:40,19.1738183,72.8568633,48.7,4.8,62.1,2.224,7,2.21,0.014,22,33,31,1,1,22977,118,0,15-06-24,0.166666667,5
157840,it_350317170589794,15-06-24 08:56,19.17543,72.86492,48.6,11.6,59,2.222,1,2.201,0.021,22,33,31,1,1,21830,118,0,15-06-24,16.08333333,6
157847,it_350317170589794,15-06-24 08:58,19.1753616,72.8675816,48.5,5.3,58.1,2.212,1,2.199,0.013,22,33,31,1,1,21497,118,0,15-06-24,1.166666667,6
157853,it_350317170589794,15-06-24 08:58,19.172535,72.86917,48.5,5.2,57.5,2.211,1,2.199,0.012,22,33,31,1,1,21275,118,0,15-06-24,0.833333333,6
157869,it_350317170589794,15-06-24 09:01,19.1720933,72.8704033,48.4,4.6,57.1,2.208,7,2.197,0.011,22,33,31,1,1,21127,118,0,15-06-24,2.666666667,6
157876,it_350317170589794,15-06-24 09:03,19.1720783,72.8713033,48.5,6.4,56.7,2.211,1,2.198,0.013,22,33,31,1,1,20979,118,0,15-06-24,1.8,6
157880,it_350317170589794,15-06-24 09:04,19.1710766,72.8708783,48.4,6.5,56.4,2.211,1,2.196,0.015,22,33,31,1,1,20868,118,0,15-06-24,0.666666667,6
157894,it_350317170589794,15-06-24 09:14,19.1711883,72.8714699,48.4,5.1,56.2,2.208,1,2.195,0.013,22,33,31,1,1,20794,118,0,15-06-24,10.8,7
157903,it_350317170589794,15-06-24 09:16,19.173905,72.868145,48.4,6.8,54.8,2.209,1,2.192,0.017,22,33,31,1,1,20276,118,0,15-06-24,1.5,7
157908,it_350317170589794,15-06-24 09:17,19.1756533,72.866765,48.6,18.8,54.1,2.228,1,2.197,0.031,22,33,31,1,1,20017,118,0,15-06-24,0.833333333,7
157913,it_350317170589794,15-06-24 09:17,19.1753833,72.8648333,48.2,14.1,53.9,2.219,1,2.193,0.026,22,33,31,1,1,19943,118,0,15-06-24,0.833333333,7
157919,it_350317170589794,15-06-24 09:18,19.1744383,72.859915,48.3,5.7,53.3,2.202,1,2.189,0.013,22,33,31,1,1,19721,118,0,15-06-24,1,7
157927,it_350317170589794,15-06-24 09:21,19.1749116,72.8592966,48.2,4.7,53,2.199,1,2.187,0.012,22,33,31,1,1,19610,118,0,15-06-24,2.35,7
157928,it_350317170589794,15-06-24 09:21,19.1753083,72.8590933,48.2,7,52.9,2.201,1,2.186,0.015,22,33,31,1,1,19573,118,0,15-06-24,0.166666667,7
157929,it_350317170589794,15-06-24 09:21,19.1753716,72.858575,48.2,11.1,52.7,2.209,1,2.187,0.022,22,33,31,1,1,19499,118,0,15-06-24,0.166666667,7
157939,it_350317170589794,15-06-24 09:23,19.1750766,72.8565216,48.1,5.4,51.6,2.196,7,2.182,0.014,22,33,31,1,1,19092,118,0,15-06-24,1.666666667,7
157940,it_350317170589794,15-06-24 09:24,19.1750816,72.8565,48.4,9.1,51.6,2.211,1,2.194,0.017,22,33,31,1,1,19092,118,0,15-06-24,1,7
157941,it_350317170589794,15-06-24 09:25,19.175075,72.8564816,49,24.2,52.5,2.254,1,2.215,0.039,22,33,31,1,1,19425,118,0,15-06-24,1,7
157942,it_350317170589794,15-06-24 09:26,19.175075,72.8564766,49.1,23.9,53.6,2.259,1,2.218,0.041,22,33,33,1,1,19832,118,0,15-06-24,1,7
157943,it_350317170589794,15-06-24 09:27,19.1750533,72.8564666,49.2,24.2,54.7,2.262,1,2.222,0.04,22,33,33,1,1,20239,118,0,15-06-24,1,7
157944,it_350317170589794,15-06-24 09:28,19.1750483,72.8564799,49.2,25.4,55.8,2.263,1,2.224,0.039,22,33,33,1,1,20646,118,0,15-06-24,1,7
157945,it_350317170589794,15-06-24 09:29,19.175085,72.8564683,49.3,24,56.9,2.268,1,2.227,0.041,22,33,33,1,1,21053,118,0,15-06-24,1,7
157946,it_350317170589794,15-06-24 09:30,19.1751216,72.8564083,49.4,24.3,58,2.271,1,2.23,0.041,22,33,33,1,1,21460,118,0,15-06-24,1,7
157947,it_350317170589794,15-06-24 09:31,19.1751233,72.8564083,49.4,25,59.1,2.271,1,2.233,0.038,22,33,33,1,1,21867,118,0,15-06-24,1,7
157948,it_350317170589794,15-06-24 09:32,19.1750966,72.8564266,49.5,24.8,60.2,2.275,1,2.235,0.04,22,33,33,1,1,22274,118,0,15-06-24,1,7
157949,it_350317170589794,15-06-24 09:33,19.175075,72.8564216,49.6,23.8,61.3,2.279,1,2.238,0.041,22,33,33,1,1,22681,118,0,15-06-24,1,7
157951,it_350317170589794,15-06-24 09:35,19.17511,72.8563416,49.6,24.1,63.1,2.283,1,2.243,0.04,22,33,33,1,1,23347,118,0,15-06-24,2,7
157952,it_350317170589794,15-06-24 09:36,19.1751349,72.8563399,49.7,23.8,64.2,2.287,1,2.246,0.041,22,33,33,1,1,23754,118,0,15-06-24,1,7
157953,it_350317170589794,15-06-24 09:37,19.1751283,72.8563533,49.8,24.5,65.3,2.289,1,2.25,0.039,22,33,33,1,1,24161,118,0,15-06-24,1,7
157954,it_350317170589794,15-06-24 09:37,19.1751183,72.8564066,49.8,23.7,66,2.293,1,2.251,0.042,22,33,33,1,1,24420,118,0,15-06-24,0.633333333,7
157966,it_350317170589794,15-06-24 09:40,19.1747566,72.8561016,49.4,18,66.1,2.262,1,2.231,0.031,22,33,33,1,1,24457,118,0,15-06-24,2.133333333,7
157970,it_350317170589794,15-06-24 09:40,19.1738716,72.8570283,48.9,4.3,65.7,2.233,9,2.221,0.012,22,33,33,1,1,24309,118,0,15-06-24,0.666666667,7
157977,it_350317170589794,15-06-24 09:41,19.174315,72.8591466,48.9,4.8,65.2,2.233,7,2.22,0.013,22,33,33,1,1,24124,118,0,15-06-24,1.166666667,7
157980,it_350317170589794,15-06-24 09:42,19.1746733,72.8612933,49.2,19.3,64.7,2.259,1,2.227,0.032,22,33,33,1,1,23939,118,0,15-06-24,0.5,7
157984,it_350317170589794,15-06-24 09:43,19.1750666,72.8634216,48.8,4.3,64.3,2.226,9,2.215,0.011,22,33,33,1,1,23791,118,0,15-06-24,0.666666667,7
157993,it_350317170589794,15-06-24 09:44,19.1705216,72.864645,49,17.8,62.8,2.249,1,2.219,0.03,22,33,33,1,1,23236,118,0,15-06-24,1.5,7
157994,it_350317170589794,15-06-24 09:44,19.1701366,72.8644916,48.9,11.2,62.8,2.237,1,2.216,0.021,22,33,33,1,1,23236,118,0,15-06-24,0.166666667,7
158026,it_350317170589794,15-06-24 10:04,19.1734066,72.8631499,48.9,13.6,61.4,2.238,1,2.214,0.024,22,33,33,1,1,22718,118,0,15-06-24,19.96666667,8
158027,it_350317170589794,15-06-24 10:04,19.1739516,72.8635549,49.1,17.8,61.4,2.252,1,2.22,0.032,22,33,33,1,1,22718,118,0,15-06-24,0.166666667,8
158028,it_350317170589794,15-06-24 10:05,19.1743766,72.8636433,48.8,4,61.4,2.227,7,2.215,0.012,22,33,33,1,1,22718,118,0,15-06-24,0.166666667,8
158029,it_350317170589794,15-06-24 10:05,19.1749116,72.8635166,49,13.3,61.4,2.241,1,2.217,0.024,22,33,33,1,1,22718,118,0,15-06-24,0.166666667,8
158033,it_350317170589794,15-06-24 10:05,19.1744766,72.86022,49,19.6,61,2.249,1,2.216,0.033,22,33,33,1,1,22570,118,0,15-06-24,0.666666667,8
158045,it_350317170589794,15-06-24 10:07,19.1744016,72.859345,48.7,4.7,60.7,2.22,7,2.208,0.012,22,33,33,1,1,22459,118,0,15-06-24,1.833333333,8
158048,it_350317170589794,15-06-24 10:08,19.1754033,72.8586716,48.6,2.7,60.5,2.216,7,2.206,0.01,22,33,33,1,1,22385,118,0,15-06-24,0.5,8
158053,it_350317170589794,15-06-24 10:09,19.1741366,72.8572283,48.6,6.5,59.9,2.219,1,2.204,0.015,22,33,33,1,1,22163,118,0,15-06-24,0.833333333,8
158059,it_350317170589794,15-06-24 10:10,19.1750283,72.8564483,48.1,3.8,59.2,2.219,1,2.203,0.016,22,33,33,1,1,21904,118,0,15-06-24,1,8
158069,it_350317170589794,15-06-24 10:16,19.1745899,72.8560866,48.6,5.1,59.1,2.217,1,2.205,0.012,22,33,33,1,1,21867,118,0,15-06-24,6.666666667,8
158072,it_350317170589794,15-06-24 10:17,19.1742633,72.8561866,48.6,6.1,59,2.217,7,2.204,0.013,22,33,33,1,1,21830,118,0,15-06-24,0.5,8
158074,it_350317170589794,15-06-24 10:17,19.1738716,72.8568316,48.6,7.4,58.8,2.218,7,2.203,0.015,22,33,33,1,1,21756,118,0,15-06-24,0.333333333,8
158076,it_350317170589794,15-06-24 10:17,19.1741866,72.85717,48.5,4,58.7,2.209,12,2.2,0.009,22,33,33,1,1,21719,118,0,15-06-24,0.333333333,8
158078,it_350317170589794,15-06-24 10:18,19.173815,72.8572683,48.6,7.4,58.4,2.218,1,2.203,0.015,22,33,33,1,1,21608,118,0,15-06-24,0.333333333,8
158087,it_350317170589794,15-06-24 10:19,19.1746849,72.8608383,48.8,19.9,57.5,2.238,1,2.205,0.033,22,33,33,1,1,21275,118,0,15-06-24,1.5,8
158091,it_350317170589794,15-06-24 10:20,19.1750083,72.8625616,48.5,16.2,57.1,2.23,1,2.201,0.029,22,33,33,1,1,21127,118,0,15-06-24,0.666666667,8
158095,it_350317170589794,15-06-24 10:21,19.1765216,72.8640433,48,3.9,56.5,2.213,16,2.195,0.018,22,33,33,1,1,20905,118,0,15-06-24,0.666666667,8
158099,it_350317170589794,15-06-24 10:21,19.176915,72.8629383,48.5,6.1,56.2,2.208,1,2.196,0.012,22,33,33,1,1,20794,118,0,15-06-24,0.666666667,8
158100,it_350317170589794,15-06-24 10:21,19.1770066,72.862495,48.4,3.9,56.1,2.206,7,2.194,0.012,22,33,33,1,1,20757,118,0,15-06-24,0.166666667,8
158117,it_350317170589794,15-06-24 10:30,19.1769533,72.8632333,48.6,16.3,55.8,2.228,1,2.2,0.028,22,33,33,1,1,20646,118,0,15-06-24,8.266666667,8
158120,it_350317170589794,15-06-24 10:30,19.1759816,72.8640216,48.1,6.9,55.5,2.218,1,2.194,0.024,22,33,33,1,1,20535,118,0,15-06-24,0.5,8
158132,it_350317170589794,15-06-24 10:32,19.174475,72.8601716,48.4,8.1,54.5,2.211,1,2.193,0.018,22,35,33,1,1,20165,118,0,15-06-24,1.833333333,8
158144,it_350317170589794,15-06-24 10:35,19.1752733,72.85853,48.3,5.2,53.9,2.195,12,2.186,0.009,22,35,33,1,1,19943,118,0,15-06-24,2.683333333,8
158145,it_350317170589794,15-06-24 10:35,19.1748133,72.8582333,48.3,18.6,53.8,2.227,1,2.195,0.032,22,35,33,1,1,19906,118,0,15-06-24,0.166666667,8
158147,it_350317170589794,15-06-24 10:35,19.1744466,72.8573283,48.2,4.4,53.6,2.198,1,2.185,0.013,22,35,33,1,1,19832,118,0,15-06-24,0.333333333,8
158152,it_350317170589794,15-06-24 10:36,19.1744,72.8560483,48,6.3,53,2.209,1,2.186,0.023,22,35,33,1,1,19610,118,0,15-06-24,0.666666667,8
158151,it_350317170589794,15-06-24 10:36,19.1744,72.8560483,48,6.3,53,2.209,1,2.186,0.023,22,35,33,1,1,19610,118,0,15-06-24,0,8
158158,it_350317170589794,15-06-24 10:39,19.1751516,72.8564583,49,25,53,2.251,1,2.213,0.038,22,35,33,1,1,19610,118,0,15-06-24,2.666666667,8
158159,it_350317170589794,15-06-24 10:40,19.1751216,72.8564916,49.1,25.6,54.1,2.258,1,2.218,0.04,22,35,33,1,1,20017,118,0,15-06-24,1,8
158160,it_350317170589794,15-06-24 10:41,19.175165,72.8565,49.2,25.2,55.2,2.26,1,2.222,0.038,22,35,33,1,1,20424,118,0,15-06-24,1,8
158161,it_350317170589794,15-06-24 10:42,19.17518,72.85654,49.2,24.6,56.3,2.264,1,2.225,0.039,22,35,33,1,1,20831,118,0,15-06-24,1,8
158162,it_350317170589794,15-06-24 10:42,19.1751783,72.8565116,49.3,24.2,57.2,2.268,1,2.227,0.041,22,35,33,1,1,21164,118,0,15-06-24,0.833333333,8
158163,it_350317170589794,15-06-24 10:43,19.1751699,72.8565466,49.4,25.6,58.3,2.269,1,2.23,0.039,22,35,33,1,1,21571,118,0,15-06-24,1,8
158170,it_350317170589794,15-06-24 10:45,19.1740216,72.8565633,48.7,10.2,58.4,2.224,7,2.206,0.018,22,35,33,1,1,21608,118,0,15-06-24,1.933333333,8
158171,it_350317170589794,15-06-24 10:45,19.1738783,72.856935,48.6,4.2,58.3,2.214,12,2.204,0.01,22,35,33,1,1,21571,118,0,15-06-24,0.166666667,8
158186,it_350317170589794,15-06-24 10:48,19.1750333,72.8626083,48.6,11.7,56.9,2.226,1,2.203,0.023,22,35,33,1,1,21053,118,0,15-06-24,2.5,8
158188,it_350317170589794,15-06-24 10:48,19.1752333,72.8635549,48.6,11.4,56.6,2.217,1,2.2,0.017,22,35,33,1,1,20942,118,0,15-06-24,0.333333333,8
158194,it_350317170589794,15-06-24 10:49,19.1768416,72.8639916,48.5,7.5,56,2.213,1,2.197,0.016,22,35,33,1,1,20720,118,0,15-06-24,1,8
158197,it_350317170589794,15-06-24 10:50,19.1769983,72.86262,48.5,9.7,55.5,2.218,1,2.199,0.019,22,35,33,1,1,20535,118,0,15-06-24,0.5,8
158205,it_350317170589794,15-06-24 10:54,19.1768766,72.8634033,48.5,4.5,55.3,2.207,8,2.195,0.012,22,35,33,1,1,20461,118,0,15-06-24,3.833333333,8
158215,it_350317170589794,15-06-24 10:57,19.1769733,72.8639216,48.5,7.6,54.8,2.211,1,2.196,0.015,22,35,33,1,1,20276,118,0,15-06-24,2.9,8
158227,it_350317170589794,15-06-24 10:59,19.1760733,72.8640183,48.4,3.6,54.4,2.204,7,2.194,0.01,22,35,33,1,1,20128,118,0,15-06-24,2,8
158229,it_350317170589794,15-06-24 10:59,19.17542,72.8639816,48.3,2.9,54.2,2.202,12,2.193,0.009,22,35,33,1,1,20054,118,0,15-06-24,0.333333333,8
158233,it_350317170589794,15-06-24 11:00,19.1750199,72.8634583,48.3,3.3,54.1,2.203,16,2.193,0.01,22,35,33,1,1,20017,118,0,15-06-24,0.666666667,8
158235,it_350317170589794,15-06-24 11:00,19.1747166,72.861635,48.5,10.2,53.9,2.214,1,2.196,0.018,22,35,33,1,1,19943,118,0,15-06-24,0.333333333,8
158243,it_350317170589794,15-06-24 11:01,19.1742233,72.859145,48.4,15.6,53.3,2.217,1,2.191,0.026,22,35,33,1,1,19721,118,0,15-06-24,1.333333333,8
158244,it_350317170589794,15-06-24 11:01,19.1740516,72.8584683,48.5,19.2,53.2,2.226,1,2.193,0.033,22,35,33,1,1,19684,118,0,15-06-24,0.166666667,8
158245,it_350317170589794,15-06-24 11:02,19.1738366,72.8576799,48.3,10.5,53.1,2.213,1,2.188,0.025,22,35,33,1,1,19647,118,0,15-06-24,0.166666667,8
158250,it_350317170589794,15-06-24 11:02,19.17265,72.85465,48.4,16.8,52.6,2.219,1,2.19,0.029,22,35,33,1,1,19462,118,0,15-06-24,0.833333333,8
158253,it_350317170589794,15-06-24 11:03,19.172435,72.85408,48.2,2.7,52.5,2.196,1,2.186,0.01,22,35,33,1,1,19425,118,0,15-06-24,0.5,8
